Food_items,Dinner,Calories,Fats,Proteins,Carbohydrates,Fibre
Bagels made in wheat,1,250,1.5,10,49,4.1
Barely,1,116,0.38,9.02,20.13,7.9
Black beans,1,114,0,8,20.39,7.5
Blackberries,1,62,0.8,2,14,8
Boiled Potatoes,1,87,0.1,1.9,20,2
Brocolli,1,25,0.5,3.8,3.1,2.8
Brown Rice,1,362,2.7,7.5,76,3.4
Bulgur,1,151,0.9,6,34,8
Cauliflower,1,32,0.3,3,6.3,3.3
Chappati,1,297,7.5,11,46,4.9
Chickpeas,1,269,4.25,14.5,44.9,12.5
Chocolate Icecream,1,216,11,3.8,28,1.2
Corn,1,97,1.4,3.3,22,2.7
Dal Makhani,1,109,8.5,2.1,6.3,1.5
Dark chocolates,1,556,32,5.5,60,6.5
Dosa,1,168,3.7,4.5,29,0.9
Eggplant,1,20,0.2,1,5,3
Eggs,1,77,5.3,6.3,0.6,0
Fortified milk,1,122,5,8,12,2
Honey,1,304,0,0.3,82,0.2
Idli,1,156,1.7,5,30.2,2.1
Milk,1,97,6.9,3.8,5.2,0
Mushrooms,1,22,0,3,3,1
Noodles,1,108,0.2,1.8,24,1
Onions,1,40,0.1,1.1,9.3,1.7
Pasta canned with tomato sauce,1,71,0.7,2.2,14,0.9
Pasta with corn homemade,1,126,0.7,2.6,28,4.8
Peas,1,81,0.4,5.4,14,5.7
Pop Corn,1,429,9.5,13,73,14
Pumpkin,1,18,0.1,0.7,4.3,1.1
Raspberries,1,64,0.8,1.5,14.7,8
Spinach(cooked),1,14,0.1,0.9,1.1,0.7
Strawberry Icecream,1,192,8.4,3.2,28,0.9
Sunflower seeds,1,163,14,5.5,6.5,3
Tomato,1,16,0.2,1.2,3.2,0.9
Tuna Fish,1,184,6.3,30,0,0
Tuna Salad,1,187,9.3,16,9.4,0
Uttapam,1,188,7.2,4.4,26.4,2.2
Vanilla Ice cream,1,207,11,3.5,24,0.7
White Rice,1,360,0.6,6.6,79,1.4
Whole wheat,1,408,3,16,86,13
Yogurt,1,60,4,3.1,7,0
